
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    10.249.5.23:59527      proxy03:8080           CLOSE_WAIT      5380
  TCP    10.249.5.23:59545      proxy03:8080           TIME_WAIT       0
  TCP    10.249.5.23:59546      proxy02:8080           ESTABLISHED     13952
  TCP    10.249.5.23:59552      proxy03:8080           ESTABLISHED     5380
  TCP    10.249.5.23:59553      proxy03:8080           CLOSE_WAIT      5380
  TCP    10.249.5.23:59555      proxy03:8080           ESTABLISHED     5380
  TCP    10.249.5.23:59563      proxy03:8080           ESTABLISHED     5380
  TCP    10.249.5.23:59567      proxy03:8080           ESTABLISHED     5380
  TCP    10.249.5.23:59569      proxy03:8080           ESTABLISHED     5380
  TCP    10.249.5.23:59570      proxy03:8080           TIME_WAIT       0
  TCP    10.249.5.23:60613      207.14.29.41:https     FIN_WAIT_2      5380
  TCP    10.249.5.23:62293      proxy03:8080           ESTABLISHED     5380
  TCP    10.249.5.23:62436      proxy02:8080           CLOSE_WAIT      16156
  TCP    10.249.5.23:62437      proxy02:8080           CLOSE_WAIT      16156
  TCP    10.249.5.23:62438      proxy02:8080           CLOSE_WAIT      16156
  TCP    10.249.5.23:62439      proxy01:8080           CLOSE_WAIT      12280
  TCP    10.249.5.23:62484      proxy01:8080           CLOSE_WAIT      12280
  TCP    10.249.5.23:62889      gs1-comm02:microsoft-ds  ESTABLISHED     4
  TCP    10.249.5.23:62928      proxy01:8080           CLOSE_WAIT      12280
  TCP    10.249.5.23:63251      proxy01:8080           ESTABLISHED     344
  TCP    10.249.5.23:63256      proxy01:8080           ESTABLISHED     344
  TCP    10.249.5.23:63381      proxy02:8080           ESTABLISHED     1380
  TCP    10.249.5.23:63415      proxy01:8080           CLOSE_WAIT      12280
  TCP    10.249.5.23:63540      expobookdb2qa:50001    ESTABLISHED     4976
  TCP    10.249.5.23:63541      expobookdb2qa:50001    ESTABLISHED     4976
  TCP    10.249.5.23:63542      expobookdb2qa:50001    ESTABLISHED     4976
  TCP    10.249.5.23:63543      expobookdb2qa:50001    ESTABLISHED     4976
  TCP    10.249.5.23:63544      expobookdb2qa:50001    ESTABLISHED     4976
  TCP    10.249.5.23:63548      qaapp030:28600         ESTABLISHED     4976
  TCP    10.249.5.23:63578      qaapp030:28600         ESTABLISHED     4976
  TCP    10.249.131.92:139      GS1-MAHESWAR-LX:0      LISTENING       4
  TCP    127.0.0.1:6942         GS1-MAHESWAR-LX:0      LISTENING       14564
  TCP    127.0.0.1:37861        GS1-MAHESWAR-LX:0      LISTENING       17928
  TCP    127.0.0.1:37861        GS1-MAHESWAR-LX:62882  ESTABLISHED     17928
  TCP    127.0.0.1:54089        GS1-MAHESWAR-LX:0      LISTENING       7816
  TCP    127.0.0.1:57593        GS1-MAHESWAR-LX:57594  ESTABLISHED     15032
  TCP    127.0.0.1:57594        GS1-MAHESWAR-LX:57593  ESTABLISHED     15032
  TCP    127.0.0.1:58792        GS1-MAHESWAR-LX:58793  ESTABLISHED     14564
  TCP    127.0.0.1:58793        GS1-MAHESWAR-LX:58792  ESTABLISHED     14564
  TCP    127.0.0.1:62769        GS1-MAHESWAR-LX:62770  ESTABLISHED     14564
